state,18_and_over_population_male,18_and_over_population_female,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,median_age(years),year
 Alabama,47.6,52.4,6.8,12.86,12.47,12.17,6.27,6.73,10.77,5.57,1.69,39,2022
 Alaska,53.2,46.8,7.1,15.5,14.3,11.2,5.9,5.9,9.4,3.7,0.8,35,2022
 Arizona,49.64,50.36,7.11,13.86,12.58,11.61,5.66,6.2,10.63,6.42,1.78,39,2022
 Arkansas,48.75,51.25,6.9,12.62,12.7,11.95,6.0,6.6,10.38,5.58,1.78,39,2022
 California,49.39,50.61,6.75,14.74,13.83,12.51,6.04,5.98,9.14,4.82,1.83,37,2022
 Colorado,50.54,49.46,6.78,15.71,14.72,12.06,5.61,6.16,9.61,4.58,1.45,37,2022
 Connecticut,48.16,51.84,6.7,12.42,12.72,12.56,7.08,7.12,10.54,5.5,2.22,40,2022
 Delaware,47.7,52.3,5.9,12.8,12.3,11.1,6.4,7.7,12.5,6.5,1.9,41,2022
 District of Columbia,46.5,53.5,7.2,21.6,16.6,10.7,4.6,4.9,7.5,4.1,1.4,34,2022
 Florida,48.38,51.62,6.03,12.54,12.6,12.3,6.62,6.83,11.67,7.33,2.49,43,2022
 Georgia,47.79,52.21,7.08,13.61,13.46,12.82,6.23,5.99,9.14,4.59,1.32,37,2022
 Hawaii,50.7,49.3,6.2,13.2,13.35,11.8,5.95,6.35,11.3,6.55,2.6,40,2022
 Idaho,49.85,50.15,7.3,12.9,13.2,11.3,5.6,6.0,10.3,5.1,1.6,37,2022
 Illinois,48.71,51.29,6.76,13.43,13.3,12.36,6.34,6.43,10.04,5.22,1.95,39,2022
 Indiana,48.93,51.07,7.18,12.99,12.68,11.94,6.07,6.51,10.09,5.13,1.73,38,2022
 Iowa,49.8,50.2,7.25,12.55,12.68,11.3,5.92,6.68,10.67,5.62,2.15,38,2022
 Kansas,49.83,50.18,7.45,12.83,13.0,11.03,5.83,6.28,10.1,5.12,2.0,37,2022
 Kentucky,48.92,51.08,6.68,13.02,12.63,12.35,6.22,6.8,10.6,5.22,1.72,39,2022
 Louisiana,48.08,51.92,6.87,12.92,13.35,11.62,5.72,6.9,10.3,5.17,1.53,38,2022
 Maine,49.0,51.0,5.75,11.95,12.3,12.25,7.35,8.0,13.4,6.8,2.4,45,2022
 Maryland,47.75,52.25,6.17,13.09,13.61,12.54,6.62,6.76,9.86,5.16,1.89,39,2022
 Massachusetts,48.17,51.83,7.04,13.91,13.01,12.28,6.79,6.86,10.47,5.46,2.1,40,2022
 Michigan,49.08,50.92,6.85,13.13,12.15,11.98,6.46,7.13,11.19,5.51,2.02,40,2022
 Minnesota,49.91,50.09,6.36,13.01,13.69,11.45,6.1,6.9,10.18,5.16,2.04,39,2022
 Mississippi,47.65,52.35,7.1,11.95,12.93,12.0,5.67,6.78,10.55,5.22,1.65,38,2022
 Missouri,48.75,51.25,6.65,13.11,12.86,11.56,6.08,6.95,10.54,5.54,1.93,39,2022
 Montana,50.45,49.55,6.65,13.0,13.05,11.0,5.8,7.0,12.35,6.0,1.85,40,2022
 Nebraska,49.7,50.3,6.87,12.73,13.43,10.93,5.4,6.53,10.0,5.13,1.93,37,2022
 Nevada,50.05,49.95,6.12,14.37,13.87,12.55,6.25,6.05,10.22,5.38,1.35,38,2022
 New Hampshire,49.7,50.3,5.95,13.05,12.35,12.3,7.45,8.1,12.2,5.9,2.1,43,2022
 New Jersey,48.38,51.62,6.16,12.81,13.34,12.91,6.76,6.82,9.98,5.42,1.99,40,2022
 New Mexico,49.33,50.67,6.9,12.97,13.03,11.27,5.87,6.47,11.47,5.93,1.77,39,2022
 New York,47.92,52.08,6.6,14.13,12.92,12.22,6.62,6.66,10.3,5.56,2.21,40,2022
 North Carolina,48.06,51.94,6.91,13.26,12.85,12.56,6.21,6.54,10.43,5.41,1.63,39,2022
 North Dakota,51.1,48.9,7.4,14.5,13.7,9.7,5.4,6.1,9.7,4.8,2.2,36,2022
 Ohio,48.83,51.17,6.52,13.1,12.55,11.93,6.3,6.85,10.95,5.51,2.0,40,2022
 Oklahoma,49.14,50.86,7.18,13.3,13.26,11.36,5.56,6.28,9.7,5.18,1.58,37,2022
 Oregon,49.4,50.6,6.1,14.08,14.02,12.38,5.72,6.37,11.48,5.8,1.97,40,2022
 Pennsylvania,48.75,51.25,6.41,12.94,12.52,11.88,6.52,7.11,11.31,5.93,2.31,41,2022
 Puerto Rico,46.6,53.4,6.7,12.6,12.4,12.6,6.7,6.9,11.9,8.6,3.0,44,2022
 Rhode Island,48.1,51.9,6.95,13.8,12.6,11.85,6.75,7.35,11.0,5.7,2.15,40,2022
 South Carolina,47.86,52.14,6.67,12.56,12.63,11.93,6.2,6.94,11.5,5.84,1.74,40,2022
 South Dakota,50.6,49.4,6.6,12.2,12.8,10.7,5.7,7.0,11.2,5.0,2.1,38,2022
 Tennessee,48.27,51.73,6.7,13.68,12.88,12.31,6.38,6.51,10.34,5.29,1.66,39,2022
 Texas,49.37,50.63,7.16,14.43,14.1,12.26,5.47,5.54,8.19,3.97,1.28,35,2022
 Utah,50.5,49.5,8.92,14.62,13.6,11.05,4.42,4.75,7.27,3.58,1.12,32,2022
 Vermont,49.2,50.8,6.8,12.0,12.4,11.7,6.4,8.2,12.9,6.6,2.1,43,2022
 Virginia,48.93,51.07,6.94,13.35,13.58,12.29,6.43,6.38,9.88,5.24,1.74,39,2022
 Washington,50.18,49.82,6.41,15.11,14.34,12.02,5.81,6.17,10.1,5.01,1.7,38,2022
 West Virginia,49.4,50.6,6.45,11.65,12.2,12.5,6.4,7.1,12.65,6.45,2.05,42,2022
 Wisconsin,49.69,50.31,6.9,12.46,12.61,11.75,6.66,7.19,11.16,5.5,2.04,40,2022
 Wyoming,51.0,49.0,6.3,12.5,14.0,11.1,6.0,6.6,11.8,5.4,1.4,39,2022
